# Simulated time = 10951.235 sec
# [Center energy]  [Energy bin width]       [Rate]        [Rate error]
#     (keV)              (keV)         (counts/sec/keV)  (counts/sec/keV)
1.62 0.04 0.0 0.0
1.66 0.04 0.00228284765035 0.00228284754035
1.7 0.04 0.0 0.0
1.74 0.04 0.0 0.0
1.78 0.04 0.0 0.0
1.82 0.04 0.0 0.0
1.86 0.04 0.0 0.0
1.9 0.04 0.00228284765035 0.00228284754035
1.94 0.04 0.00228284765035 0.00228284754035
1.98 0.04 0.0 0.0
2.02 0.04 0.0 0.0
2.06 0.04 0.0 0.0
2.1 0.04 0.0 0.0
2.14 0.04 0.0 0.0
2.18 0.04 0.0 0.0
2.22 0.04 0.0 0.0
2.26 0.04 0.0 0.0
2.3 0.04 0.0 0.0
2.34 0.04 0.0 0.0
2.38 0.04 0.0 0.0
2.42 0.04 0.0 0.0
2.46 0.04 0.0 0.0
2.5 0.04 0.00228284765035 0.00228284754035
2.54 0.04 0.0 0.0
2.58 0.04 0.0 0.0
2.62 0.04 0.0 0.0
2.66 0.04 0.0 0.0
2.7 0.04 0.0 0.0
2.74 0.04 0.0 0.0
2.78 0.04 0.0 0.0
2.82 0.04 0.0 0.0
2.86 0.04 0.0 0.0
2.9 0.04 0.00228284765035 0.00228284754035
2.94 0.04 0.0136970849708 0.00559181163444
2.98 0.04 0.0 0.0
3.02 0.04 0.0 0.0
3.06 0.04 0.0 0.0
3.1 0.04 0.0 0.0
3.14 0.04 0.0 0.0
3.18 0.04 0.0 0.0
3.22 0.04 0.0 0.0
3.26 0.04 0.0 0.0
3.3 0.04 0.0 0.0
3.34 0.04 0.00228284765035 0.00228284754035
3.38 0.04 0.0 0.0
3.42 0.04 0.00228284765035 0.00228284754035
3.46 0.04 0.00228284765035 0.00228284754035
3.5 0.04 0.00228284765035 0.00228284754035
3.54 0.04 0.0 0.0
3.58 0.04 0.0 0.0
3.62 0.04 0.00228284765035 0.00228284754035
3.66 0.04 0.00228284765035 0.00228284754035
3.7 0.04 0.0 0.0
3.74 0.04 0.00228284765035 0.00228284754035
3.78 0.04 0.00228284765035 0.00228284754035
3.82 0.04 0.0 0.0
3.86 0.04 0.00228284765035 0.00228284754035
3.9 0.04 0.00228284765035 0.00228284754035
3.94 0.04 0.00228284765035 0.00228284754035
3.98 0.04 0.0 0.0
4.02 0.04 0.0 0.0
4.06 0.04 0.00228284765035 0.00228284754035
4.1 0.04 0.0 0.0
4.14 0.04 0.00228284765035 0.00228284754035
4.18 0.04 0.0 0.0
4.22 0.04 0.0 0.0
4.26 0.04 0.00228284765035 0.00228284754035
4.3 0.04 0.0 0.0
4.34 0.04 0.00228284765035 0.00228284754035
4.38 0.04 0.0 0.0
4.42 0.04 0.0 0.0
4.46 0.04 0.00228284765035 0.00228284754035
4.5 0.04 0.00228284765035 0.00228284754035
4.54 0.04 0.0 0.0
4.58 0.04 0.0 0.0
4.62 0.04 0.0 0.0
4.66 0.04 0.0 0.0
4.7 0.04 0.00228284765035 0.00228284754035
4.74 0.04 0.0 0.0
4.78 0.04 0.00228284765035 0.00228284754035
4.82 0.04 0.0 0.0
4.86 0.04 0.0 0.0
4.9 0.04 0.0 0.0
4.94 0.04 0.0 0.0
4.98 0.04 0.0 0.0
5.02 0.04 0.0228284746408 0.00721899777843
5.06 0.04 0.00228284765035 0.00228284754035
5.1 0.04 0.0 0.0
5.14 0.04 0.0 0.0
5.18 0.04 0.0045656953007 0.0032284339524
5.22 0.04 0.00228284765035 0.00228284754035
5.26 0.04 0.0 0.0
5.3 0.04 0.00684854248539 0.00395400792583
5.34 0.04 0.0 0.0
5.38 0.04 1.29209172726 0.0543106654089
5.42 0.04 0.0 0.0
5.46 0.04 0.0 0.0
5.5 0.04 0.0045656953007 0.0032284339524
5.54 0.04 0.0 0.0
5.58 0.04 0.148385092616 0.0184049052704
5.62 0.04 1.13000953197 0.0507901514251
5.66 0.04 0.0 0.0
5.7 0.04 0.0 0.0
5.74 0.04 0.00228284765035 0.00228284754035
5.78 0.04 0.00228284765035 0.00228284754035
5.82 0.04 0.0045656953007 0.0032284339524
5.86 0.04 0.0045656953007 0.0032284339524
5.9 0.04 0.152950778604 0.0186859124422
5.94 0.04 0.0091313906014 0.00456569508071
5.98 0.04 0.0136970849708 0.00559181163444
6.02 0.04 2.71658849716 0.0787499685211
6.06 0.04 24.5976829529 0.236965732579
6.1 0.04 0.0 0.0
6.14 0.04 0.00228284765035 0.00228284754035
6.18 0.04 0.0867482051253 0.0140724173444
6.22 0.04 0.618651688099 0.037580413434
6.26 0.04 0.00228284765035 0.00228284754035
6.3 0.04 0.120990917087 0.0166193809543
6.34 0.04 1.07065546513 0.0494382773424
6.38 0.04 2.13446235657 0.0698043863557
6.42 0.04 0.00228284765035 0.00228284754035
6.46 0.04 0.0 0.0
6.5 0.04 0.00684854248539 0.00395400792583
6.54 0.04 0.0114142373204 0.0051046022825
6.58 0.04 0.598106026649 0.0369511155154
