41.9245 0 0  FFFFFFTTF
.8446149  FFFFFFFFF
123.7 123.4526463 124.0266998  FFFFFFFFF
122.168 121.9578615 122.5091358  FFFFFFFFF
122.372 122.184458 122.5901545  FFFFFFFFF
122.701 122.4915602 122.8986917  FFFFFFFFF
121.955 121.7130988 122.0755151  FFFFFFFFF
121.9 121.6732489 122.1327287  FFFFFFFFF
121.984 121.5877407 122.1839935  FFFFFFFFF
121.981 121.6484588 122.1514453  FFFFFFFFF
121.605 121.3539636 121.8888137  FFFFFFFFF
121.849 121.5947406 122.0557829  FFFFFFFFF
122.502 122.1028121 123.1797326  FFFFFFFFF
121.222 121.0284619 121.4879618  FFFFFFFFF
121.814 121.2078267 121.9570793  FFFFFFFFF
121.73 121.4093536 121.9778748  FFFFFFFFF
121.152 120.965893 121.3470725  FFFFFFFFF
121.572 121.4313468 121.8088185  FFFFFFFFF
121.861 121.5087779 122.0775346  FFFFFFFFF
122.089 121.9583531 122.2923981  FFFFFFFFF
121.43 121.2086483 121.5793537  FFFFFFFFF
121.237 121.0188805 121.5038119  FFFFFFFFF
121.198 121.0315727 121.4855489  FFFFFFFFF
121.32 121.140875 121.7083699  FFFFFFFFF
