123.586 123.4260402 123.7720964  FFFFFFFTF
123.709 123.4850495 124.0535985  FFFFFFFFF
122.235 121.9691093 122.4634163  FFFFFFFFF
122.381 122.1890889 122.5879374  FFFFFFFFF
122.638 122.4815801 122.9237424  FFFFFFFFF
121.923 121.7232585 122.0711788  FFFFFFFFF
121.835 121.6421656 122.1039131  FFFFFFFFF
121.865 121.6148608 122.1606247  FFFFFFFFF
121.88 121.7289636 122.0336901  FFFFFFFFF
121.659 121.3551167 121.900869  FFFFFFFFF
121.799 121.556487 122.0279829  FFFFFFFFF
122.265 122.0492628 122.9351878  FFFFFFFFF
121.277 121.0661664 121.530611  FFFFFFFFF
121.685 121.3478045 121.8686443  FFFFFFFFF
121.712 121.3841747 121.9602055  FFFFFFFFF
121.152 120.9646072 121.3430591  FFFFFFFFF
121.554 121.4285967 121.7963983  FFFFFFFFF
121.701 121.4917979 121.9772186  FFFFFFFFF
122.102 121.973578 122.3139152  FFFFFFFFF
121.381 121.2139518 121.5429846  FFFFFFFFF
121.251 121.0176991 121.5135775  FFFFFFFFF
121.149 120.9894511 121.3463028  FFFFFFFFF
121.364 121.1517535 121.7205009  FFFFFFFFF
