123.048 122.6030862 123.8844917  FTFFFFFFF
122.729 122.5620218 122.9371012  FFFFFFFFF
123.329 123.1789878 123.4785731  FFFFFFFFF
122.2 121.9364291 122.3322073  FFFFFFFFF
121.827 121.6438071 121.9621498  FFFFFFFFF
122.182 121.8926426 122.297803  FFFFFFFFF
121.617 121.516989 121.7071535  FFFFFFFFF
121.751 121.3652703 122.00959  FFFFFFFFF
121.581 121.4343214 121.6291175  FFFFFFFFF
121.246 121.0989486 121.3473312  FFFFFFFFF
121.6 121.291037 121.6859658  FFFFFFFFF
121.643 121.2876121 121.7882589  FFFFFFFFF
121.552 121.369531 121.6453222  FFFFFFFFF
121.338 121.1575252 121.5406487  FFFFFFFFF
121.421 121.3013405 121.5782161  FFFFFFFFF
121.513 121.3339015 121.840003  FFFFFFFFF
121.565 121.2251066 121.6547495  FFFFFFFFF
121.477 121.2974276 121.5885464  FFFFFFFFF
121.37 121.1755222 121.5809187  FFFFFFFFF
121.556 121.3699082 121.6768078  FFFFFFFFF
121.208 121.0839686 121.3315729  FFFFFFFFF
121.015 120.7392482 121.15068  FFFFFFFFF
121.496 121.3823891 121.5996781  FFFFFFFFF
