NO NO NO NO NO NO NO
95.1600037 0.159999847 3.95155221E-4 1.53004712E-5 3.96656978E-4 2.85642454E-6 3.93800554E-4
95.4799957 0.159999847 4.0522663E-4 1.54942281E-5 3.96405056E-4 2.60906836E-6 3.93795985E-4
95.8000031 0.159999847 3.92193033E-4 1.52430148E-5 3.96398973E-4 2.60752154E-6 3.93791444E-4
96.1199951 0.159999847 4.22407291E-4 1.58192779E-5 3.96497053E-4 2.71014937E-6 3.93786904E-4
96.4400024 0.159999847 4.11151006E-4 1.56070782E-5 3.96457297E-4 2.67490577E-6 3.93782393E-4
96.7599945 0.159999847 4.11743444E-4 1.56183196E-5 3.96401476E-4 2.62358276E-6 3.93777882E-4
97.0800018 0.159999847 4.25961916E-4 1.58856983E-5 3.96303541E-4 2.53012445E-6 3.937734E-4
97.3999939 0.159999847 4.15890507E-4 1.56967744E-5 3.96467396E-4 2.69847374E-6 3.93768947E-4
97.7200012 0.159999847 3.79159435E-4 1.49875923E-5 3.96522519E-4 2.75803268E-6 3.93764465E-4
98.0399933 0.159999847 4.25369479E-4 1.58746479E-5 3.9669394E-4 2.93390485E-6 3.93760041E-4
98.3600006 0.159999847 4.07596381E-4 1.55394664E-5 3.96915624E-4 3.1600116E-6 3.93755618E-4
98.6799927 0.159999847 3.77382123E-4 1.4952424E-5 3.97536554E-4 3.78537561E-6 3.93751194E-4
98.9799957 0.140003204 4.25867125E-4 1.69804352E-5 3.98370379E-4 4.62331946E-6 3.93747061E-4
99.2799988 0.159999847 4.12335881E-4 1.56295519E-5 3.98861244E-4 5.11829694E-6 3.93742957E-4
99.6000061 0.159999847 4.09966131E-4 1.55845737E-5 3.98932869E-4 5.19428841E-6 3.93738592E-4
99.9000015 0.13999939 4.28587024E-4 1.70348048E-5 3.99133598E-4 5.39911571E-6 3.93734488E-4
100.199997 0.159999847 3.7560481E-4 1.49171728E-5 3.99757468E-4 6.0270454E-6 3.93730414E-4
100.520004 0.159999847 3.94562783E-4 1.5288997E-5 4.00591962E-4 6.86588965E-6 3.93726077E-4
